"Region Code","Timestamp (Hour Ending)","Total CAL Demand (MWh)"
CAL,"12/5/2019 11 a.m. PST",29599
CAL,"12/5/2019 12 p.m. PST",29404
CAL,"12/5/2019 1 p.m. PST",29611
CAL,"12/5/2019 2 p.m. PST",30141
CAL,"12/5/2019 3 p.m. PST",30300
CAL,"12/5/2019 4 p.m. PST",31095
CAL,"12/5/2019 5 p.m. PST",32957
CAL,"12/5/2019 6 p.m. PST",35184
CAL,"12/5/2019 7 p.m. PST",35144
CAL,"12/5/2019 8 p.m. PST",34597
CAL,"12/5/2019 9 p.m. PST",33759
CAL,"12/5/2019 10 p.m. PST",32257
CAL,"12/5/2019 11 p.m. PST",29927
CAL,"12/6/2019 12 a.m. PST",27726
CAL,"12/6/2019 1 a.m. PST",26182
CAL,"12/6/2019 2 a.m. PST",25177
CAL,"12/6/2019 3 a.m. PST",24544
CAL,"12/6/2019 4 a.m. PST",24367
CAL,"12/6/2019 5 a.m. PST",25003
CAL,"12/6/2019 6 a.m. PST",26850
CAL,"12/6/2019 7 a.m. PST",29784
CAL,"12/6/2019 8 a.m. PST",30986
CAL,"12/6/2019 9 a.m. PST",30331
CAL,"12/6/2019 10 a.m. PST",29631
CAL,"12/6/2019 11 a.m. PST",29057
CAL,"12/6/2019 12 p.m. PST",28858
CAL,"12/6/2019 1 p.m. PST",29656
CAL,"12/6/2019 2 p.m. PST",30726
CAL,"12/6/2019 3 p.m. PST",31154
CAL,"12/6/2019 4 p.m. PST",31764
CAL,"12/6/2019 5 p.m. PST",33088
CAL,"12/6/2019 6 p.m. PST",34843
CAL,"12/6/2019 7 p.m. PST",34497
CAL,"12/6/2019 8 p.m. PST",33780
CAL,"12/6/2019 9 p.m. PST",32920
CAL,"12/6/2019 10 p.m. PST",31752
CAL,"12/6/2019 11 p.m. PST",29868
CAL,"12/7/2019 12 a.m. PST",27774
CAL,"12/7/2019 1 a.m. PST",26385
CAL,"12/7/2019 2 a.m. PST",25293
CAL,"12/7/2019 3 a.m. PST",24784
CAL,"12/7/2019 4 a.m. PST",24313
CAL,"12/7/2019 5 a.m. PST",24409
CAL,"12/7/2019 6 a.m. PST",25130
CAL,"12/7/2019 7 a.m. PST",25955
CAL,"12/7/2019 8 a.m. PST",26754
CAL,"12/7/2019 9 a.m. PST",27792
CAL,"12/7/2019 10 a.m. PST",28325
CAL,"12/7/2019 11 a.m. PST",28611
CAL,"12/7/2019 12 p.m. PST",28765
CAL,"12/7/2019 1 p.m. PST",28876
CAL,"12/7/2019 2 p.m. PST",28989
CAL,"12/7/2019 3 p.m. PST",29461
CAL,"12/7/2019 4 p.m. PST",29854
CAL,"12/7/2019 5 p.m. PST",31060
CAL,"12/7/2019 6 p.m. PST",32767
CAL,"12/7/2019 7 p.m. PST",32566
CAL,"12/7/2019 8 p.m. PST",31884
CAL,"12/7/2019 9 p.m. PST",31161
CAL,"12/7/2019 10 p.m. PST",30090
CAL,"12/7/2019 11 p.m. PST",28507
CAL,"12/8/2019 12 a.m. PST",26933
CAL,"12/8/2019 1 a.m. PST",25731
CAL,"12/8/2019 2 a.m. PST",24712
CAL,"12/8/2019 3 a.m. PST",24012
CAL,"12/8/2019 4 a.m. PST",23547
CAL,"12/8/2019 5 a.m. PST",23492
CAL,"12/8/2019 6 a.m. PST",23952
CAL,"12/8/2019 7 a.m. PST",24625
CAL,"12/8/2019 8 a.m. PST",25332
CAL,"12/8/2019 9 a.m. PST",25738
CAL,"12/8/2019 10 a.m. PST",26157
CAL,"12/8/2019 11 a.m. PST",26301
CAL,"12/8/2019 12 p.m. PST",26179
CAL,"12/8/2019 1 p.m. PST",26127
CAL,"12/8/2019 2 p.m. PST",26413
CAL,"12/8/2019 3 p.m. PST",26721
CAL,"12/8/2019 4 p.m. PST",27592
CAL,"12/8/2019 5 p.m. PST",29704
CAL,"12/8/2019 6 p.m. PST",32640
CAL,"12/8/2019 7 p.m. PST",32902
CAL,"12/8/2019 8 p.m. PST",32544
CAL,"12/8/2019 9 p.m. PST",31853
CAL,"12/8/2019 10 p.m. PST",30492
CAL,"12/8/2019 11 p.m. PST",28324
CAL,"12/9/2019 12 a.m. PST",26278
CAL,"12/9/2019 1 a.m. PST",25268
CAL,"12/9/2019 2 a.m. PST",24452
CAL,"12/9/2019 3 a.m. PST",24033
CAL,"12/9/2019 4 a.m. PST",24054
CAL,"12/9/2019 5 a.m. PST",24880
CAL,"12/9/2019 6 a.m. PST",26710
CAL,"12/9/2019 7 a.m. PST",29917
CAL,"12/9/2019 8 a.m. PST",31384
CAL,"12/9/2019 9 a.m. PST",31027
CAL,"12/9/2019 10 a.m. PST",30449
CAL,"12/9/2019 11 a.m. PST",29716
CAL,"12/9/2019 12 p.m. PST",29309
